[NASDAQ100 5m] 2012-2026
INFO:DUKASCRIPT:current timestamp :2012-05-09T21:30:00
INFO:DUKASCRIPT:current timestamp :2012-07-10T23:00:00
INFO:DUKASCRIPT:current timestamp :2012-08-02T02:10:00
INFO:DUKASCRIPT:current timestamp :2012-08-22T23:25:00
INFO:DUKASCRIPT:current timestamp :2012-09-12T21:05:00
INFO:DUKASCRIPT:current timestamp :2012-10-03T17:45:00
INFO:DUKASCRIPT:current timestamp :2012-10-24T19:00:00
INFO:DUKASCRIPT:current timestamp :2012-11-15T08:20:00
INFO:DUKASCRIPT:current timestamp :2012-12-07T23:35:00
INFO:DUKASCRIPT:current timestamp :2012-12-29T02:55:00
  NASDAQ100 5m 2012: 61,123 bar
INFO:DUKASCRIPT:current timestamp :2013-01-22T11:40:00
INFO:DUKASCRIPT:current timestamp :2013-02-15T12:10:00
INFO:DUKASCRIPT:current timestamp :2013-03-11T21:05:00
INFO:DUKASCRIPT:current timestamp :2013-04-03T21:15:00
INFO:DUKASCRIPT:current timestamp :2013-05-02T15:10:00
INFO:DUKASCRIPT:current timestamp :2013-05-31T02:30:00
INFO:DUKASCRIPT:current timestamp :2013-06-24T15:55:00
INFO:DUKASCRIPT:current timestamp :2013-07-19T03:50:00
INFO:DUKASCRIPT:current timestamp :2013-08-16T00:50:00
INFO:DUKASCRIPT:current timestamp :2013-09-13T14:35:00
INFO:DUKASCRIPT:current timestamp :2013-10-06T10:40:00
INFO:DUKASCRIPT:current timestamp :2013-10-29T08:35:00
INFO:DUKASCRIPT:current timestamp :2013-11-19T07:00:00
INFO:DUKASCRIPT:current timestamp :2013-12-10T03:45:00
INFO:DUKASCRIPT:current timestamp :2013-12-30T23:50:00
  NASDAQ100 5m 2013: 93,277 bar
INFO:DUKASCRIPT:current timestamp :2014-01-21T23:45:00
INFO:DUKASCRIPT:current timestamp :2014-02-12T04:15:00
INFO:DUKASCRIPT:current timestamp :2014-03-05T05:15:00
INFO:DUKASCRIPT:current timestamp :2014-03-26T01:45:00
INFO:DUKASCRIPT:current timestamp :2014-04-15T22:00:00
INFO:DUKASCRIPT:current timestamp :2014-05-07T18:50:00
INFO:DUKASCRIPT:current timestamp :2014-06-09T17:10:00
INFO:DUKASCRIPT:current timestamp :2014-07-11T03:35:00
INFO:DUKASCRIPT:current timestamp :2014-08-13T05:40:00
INFO:DUKASCRIPT:current timestamp :2014-09-17T04:00:00
INFO:DUKASCRIPT:current timestamp :2014-10-17T22:10:00
INFO:DUKASCRIPT:current timestamp :2014-11-20T18:10:00
INFO:DUKASCRIPT:current timestamp :2014-12-26T19:30:00
  NASDAQ100 5m 2014: 81,497 bar
INFO:DUKASCRIPT:current timestamp :2015-02-03T15:05:00
INFO:DUKASCRIPT:current timestamp :2015-03-16T14:05:00
INFO:DUKASCRIPT:current timestamp :2015-04-23T11:20:00
INFO:DUKASCRIPT:current timestamp :2015-06-12T12:40:00
INFO:DUKASCRIPT:current timestamp :2015-08-03T12:35:00
INFO:DUKASCRIPT:current timestamp :2015-09-22T12:45:00
INFO:DUKASCRIPT:current timestamp :2015-11-11T13:00:00
  NASDAQ100 5m 2015: 50,061 bar
INFO:DUKASCRIPT:current timestamp :2016-02-23T11:20:00
INFO:DUKASCRIPT:current timestamp :2016-04-13T20:20:00
INFO:DUKASCRIPT:current timestamp :2016-06-02T19:10:00
INFO:DUKASCRIPT:current timestamp :2016-07-22T18:20:00
INFO:DUKASCRIPT:current timestamp :2016-09-12T17:20:00
INFO:DUKASCRIPT:current timestamp :2016-11-01T13:15:00
INFO:DUKASCRIPT:current timestamp :2016-12-21T16:45:00
  NASDAQ100 5m 2016: 43,327 bar
INFO:DUKASCRIPT:current timestamp :2017-02-22T19:45:00
INFO:DUKASCRIPT:current timestamp :2017-04-13T20:20:00
INFO:DUKASCRIPT:current timestamp :2017-06-06T19:00:00
INFO:DUKASCRIPT:current timestamp :2017-07-27T11:15:00
INFO:DUKASCRIPT:current timestamp :2017-09-15T17:15:00
INFO:DUKASCRIPT:current timestamp :2017-11-07T17:00:00
INFO:DUKASCRIPT:current timestamp :2017-12-29T11:15:00
  NASDAQ100 5m 2017: 42,808 bar
INFO:DUKASCRIPT:current timestamp :2018-02-21T18:15:00
INFO:DUKASCRIPT:current timestamp :2018-04-13T08:05:00
INFO:DUKASCRIPT:current timestamp :2018-05-15T19:55:00
INFO:DUKASCRIPT:current timestamp :2018-06-15T13:45:00
INFO:DUKASCRIPT:current timestamp :2018-07-18T09:15:00
INFO:DUKASCRIPT:current timestamp :2018-08-17T20:45:00
INFO:DUKASCRIPT:current timestamp :2018-09-19T13:20:00
INFO:DUKASCRIPT:current timestamp :2018-10-22T02:10:00
INFO:DUKASCRIPT:current timestamp :2018-11-21T13:35:00
INFO:DUKASCRIPT:current timestamp :2018-12-24T14:55:00
  NASDAQ100 5m 2018: 61,253 bar
INFO:DUKASCRIPT:current timestamp :2019-02-01T15:45:00
INFO:DUKASCRIPT:current timestamp :2019-03-06T10:15:00
INFO:DUKASCRIPT:current timestamp :2019-04-05T20:00:00
INFO:DUKASCRIPT:current timestamp :2019-05-09T09:00:00
INFO:DUKASCRIPT:current timestamp :2019-06-10T22:45:00
INFO:DUKASCRIPT:current timestamp :2019-07-11T17:20:00
INFO:DUKASCRIPT:current timestamp :2019-08-13T05:50:00
INFO:DUKASCRIPT:current timestamp :2019-09-12T19:30:00
