[XAUUSD 5m] 2012-2026
INFO:DUKASCRIPT:current timestamp :2012-02-01T13:50:00
INFO:DUKASCRIPT:current timestamp :2012-03-01T21:15:00
INFO:DUKASCRIPT:current timestamp :2012-03-30T21:05:00
INFO:DUKASCRIPT:current timestamp :2012-05-01T13:10:00
INFO:DUKASCRIPT:current timestamp :2012-05-30T18:05:00
INFO:DUKASCRIPT:current timestamp :2012-06-28T20:10:00
INFO:DUKASCRIPT:current timestamp :2012-07-27T21:15:00
INFO:DUKASCRIPT:current timestamp :2012-08-27T22:00:00
INFO:DUKASCRIPT:current timestamp :2012-09-26T02:50:00
INFO:DUKASCRIPT:current timestamp :2012-10-25T03:10:00
INFO:DUKASCRIPT:current timestamp :2012-11-23T07:40:00
INFO:DUKASCRIPT:current timestamp :2012-12-24T11:30:00
  XAUUSD 5m 2012: 76,838 bar
INFO:DUKASCRIPT:current timestamp :2013-01-31T23:00:00
INFO:DUKASCRIPT:current timestamp :2013-03-04T21:55:00
INFO:DUKASCRIPT:current timestamp :2013-04-04T16:50:00
INFO:DUKASCRIPT:current timestamp :2013-05-06T12:05:00
INFO:DUKASCRIPT:current timestamp :2013-06-05T12:10:00
INFO:DUKASCRIPT:current timestamp :2013-07-05T14:40:00
INFO:DUKASCRIPT:current timestamp :2013-08-06T09:45:00
INFO:DUKASCRIPT:current timestamp :2013-09-05T08:40:00
INFO:DUKASCRIPT:current timestamp :2013-10-07T04:25:00
INFO:DUKASCRIPT:current timestamp :2013-11-06T05:40:00
INFO:DUKASCRIPT:current timestamp :2013-12-06T08:20:00
  XAUUSD 5m 2013: 70,810 bar
INFO:DUKASCRIPT:current timestamp :2014-01-31T23:10:00
INFO:DUKASCRIPT:current timestamp :2014-03-04T22:40:00
INFO:DUKASCRIPT:current timestamp :2014-04-04T09:00:00
INFO:DUKASCRIPT:current timestamp :2014-05-07T11:10:00
INFO:DUKASCRIPT:current timestamp :2014-06-06T09:45:00
INFO:DUKASCRIPT:current timestamp :2014-07-08T08:05:00
INFO:DUKASCRIPT:current timestamp :2014-08-07T03:40:00
INFO:DUKASCRIPT:current timestamp :2014-09-08T05:35:00
INFO:DUKASCRIPT:current timestamp :2014-10-07T22:25:00
INFO:DUKASCRIPT:current timestamp :2014-11-06T23:00:00
INFO:DUKASCRIPT:current timestamp :2014-12-09T00:10:00
  XAUUSD 5m 2014: 70,573 bar
INFO:DUKASCRIPT:current timestamp :2015-02-02T21:40:00
INFO:DUKASCRIPT:current timestamp :2015-03-04T20:05:00
INFO:DUKASCRIPT:current timestamp :2015-04-06T14:40:00
INFO:DUKASCRIPT:current timestamp :2015-05-06T08:20:00
INFO:DUKASCRIPT:current timestamp :2015-06-05T07:15:00
INFO:DUKASCRIPT:current timestamp :2015-07-07T07:45:00
INFO:DUKASCRIPT:current timestamp :2015-08-06T01:35:00
INFO:DUKASCRIPT:current timestamp :2015-09-04T18:40:00
INFO:DUKASCRIPT:current timestamp :2015-10-06T16:40:00
INFO:DUKASCRIPT:current timestamp :2015-11-05T11:40:00
INFO:DUKASCRIPT:current timestamp :2015-12-07T13:00:00
  XAUUSD 5m 2015: 70,857 bar
INFO:DUKASCRIPT:current timestamp :2016-02-02T21:50:00
INFO:DUKASCRIPT:current timestamp :2016-03-03T19:40:00
INFO:DUKASCRIPT:current timestamp :2016-04-05T13:55:00
INFO:DUKASCRIPT:current timestamp :2016-05-05T08:50:00
INFO:DUKASCRIPT:current timestamp :2016-06-06T06:45:00
INFO:DUKASCRIPT:current timestamp :2016-07-06T04:45:00
INFO:DUKASCRIPT:current timestamp :2016-08-04T21:55:00
INFO:DUKASCRIPT:current timestamp :2016-09-05T15:55:00
INFO:DUKASCRIPT:current timestamp :2016-10-05T14:25:00
INFO:DUKASCRIPT:current timestamp :2016-11-04T08:30:00
INFO:DUKASCRIPT:current timestamp :2016-12-06T11:20:00
  XAUUSD 5m 2016: 70,895 bar
INFO:DUKASCRIPT:current timestamp :2017-02-01T23:25:00
INFO:DUKASCRIPT:current timestamp :2017-03-03T21:40:00
INFO:DUKASCRIPT:current timestamp :2017-04-04T16:30:00
INFO:DUKASCRIPT:current timestamp :2017-05-05T10:25:00
INFO:DUKASCRIPT:current timestamp :2017-06-06T08:25:00
INFO:DUKASCRIPT:current timestamp :2017-07-06T06:20:00
INFO:DUKASCRIPT:current timestamp :2017-08-04T23:20:00
INFO:DUKASCRIPT:current timestamp :2017-09-05T21:15:00
INFO:DUKASCRIPT:current timestamp :2017-10-05T15:10:00
INFO:DUKASCRIPT:current timestamp :2017-11-06T11:05:00
INFO:DUKASCRIPT:current timestamp :2017-12-06T12:20:00
  XAUUSD 5m 2017: 70,592 bar
INFO:DUKASCRIPT:current timestamp :2018-01-31T22:55:00
INFO:DUKASCRIPT:current timestamp :2018-03-02T20:40:00
INFO:DUKASCRIPT:current timestamp :2018-04-04T13:35:00
INFO:DUKASCRIPT:current timestamp :2018-05-04T07:45:00
INFO:DUKASCRIPT:current timestamp :2018-06-05T05:45:00
INFO:DUKASCRIPT:current timestamp :2018-07-05T03:50:00
INFO:DUKASCRIPT:current timestamp :2018-08-03T20:55:00
INFO:DUKASCRIPT:current timestamp :2018-09-04T19:05:00
INFO:DUKASCRIPT:current timestamp :2018-10-04T13:25:00
INFO:DUKASCRIPT:current timestamp :2018-11-05T08:55:00
INFO:DUKASCRIPT:current timestamp :2018-12-05T11:35:00
  XAUUSD 5m 2018: 70,832 bar
INFO:DUKASCRIPT:current timestamp :2019-01-31T23:30:00
INFO:DUKASCRIPT:current timestamp :2019-03-04T23:30:00
INFO:DUKASCRIPT:current timestamp :2019-04-03T19:00:00
INFO:DUKASCRIPT:current timestamp :2019-05-06T15:05:00
INFO:DUKASCRIPT:current timestamp :2019-06-05T14:45:00
INFO:DUKASCRIPT:current timestamp :2019-07-05T13:15:00
INFO:DUKASCRIPT:current timestamp :2019-08-06T07:35:00
INFO:DUKASCRIPT:current timestamp :2019-09-05T05:40:00
INFO:DUKASCRIPT:current timestamp :2019-10-04T22:40:00
INFO:DUKASCRIPT:current timestamp :2019-11-05T18:20:00
INFO:DUKASCRIPT:current timestamp :2019-12-05T20:00:00
  XAUUSD 5m 2019: 70,860 bar
INFO:DUKASCRIPT:current timestamp :2020-01-31T22:10:00
INFO:DUKASCRIPT:current timestamp :2020-03-03T20:15:00
INFO:DUKASCRIPT:current timestamp :2020-04-02T13:45:00
INFO:DUKASCRIPT:current timestamp :2020-05-05T07:40:00
INFO:DUKASCRIPT:current timestamp :2020-06-04T05:35:00
INFO:DUKASCRIPT:current timestamp :2020-07-06T03:30:00
INFO:DUKASCRIPT:current timestamp :2020-08-04T20:30:00
INFO:DUKASCRIPT:current timestamp :2020-09-03T14:25:00
INFO:DUKASCRIPT:current timestamp :2020-10-05T12:20:00
INFO:DUKASCRIPT:current timestamp :2020-11-04T07:15:00
INFO:DUKASCRIPT:current timestamp :2020-12-04T08:35:00
  XAUUSD 5m 2020: 71,118 bar
INFO:DUKASCRIPT:current timestamp :2021-02-02T21:55:00
INFO:DUKASCRIPT:current timestamp :2021-03-04T19:50:00
INFO:DUKASCRIPT:current timestamp :2021-04-06T12:45:00
INFO:DUKASCRIPT:current timestamp :2021-05-06T06:45:00
INFO:DUKASCRIPT:current timestamp :2021-06-07T04:40:00
INFO:DUKASCRIPT:current timestamp :2021-07-07T02:35:00
INFO:DUKASCRIPT:current timestamp :2021-08-05T19:30:00
INFO:DUKASCRIPT:current timestamp :2021-09-06T13:35:00
INFO:DUKASCRIPT:current timestamp :2021-10-06T11:30:00
INFO:DUKASCRIPT:current timestamp :2021-11-05T05:30:00
INFO:DUKASCRIPT:current timestamp :2021-12-07T08:00:00
  XAUUSD 5m 2021: 70,879 bar
INFO:DUKASCRIPT:current timestamp :2022-02-01T21:55:00
INFO:DUKASCRIPT:current timestamp :2022-03-03T18:20:00
INFO:DUKASCRIPT:current timestamp :2022-04-04T11:15:00
INFO:DUKASCRIPT:current timestamp :2022-05-05T05:10:00
INFO:DUKASCRIPT:current timestamp :2022-06-06T01:35:00
INFO:DUKASCRIPT:current timestamp :2022-07-05T23:30:00
INFO:DUKASCRIPT:current timestamp :2022-08-04T17:25:00
INFO:DUKASCRIPT:current timestamp :2022-09-05T11:25:00
INFO:DUKASCRIPT:current timestamp :2022-10-05T07:50:00
INFO:DUKASCRIPT:current timestamp :2022-11-04T02:00:00
INFO:DUKASCRIPT:current timestamp :2022-12-06T02:55:00
  XAUUSD 5m 2022: 70,953 bar
INFO:DUKASCRIPT:current timestamp :2023-02-01T23:00:00
INFO:DUKASCRIPT:current timestamp :2023-03-03T19:35:00
INFO:DUKASCRIPT:current timestamp :2023-04-04T12:30:00
INFO:DUKASCRIPT:current timestamp :2023-05-05T06:35:00
INFO:DUKASCRIPT:current timestamp :2023-06-06T03:05:00
INFO:DUKASCRIPT:current timestamp :2023-07-06T02:30:00
INFO:DUKASCRIPT:current timestamp :2023-08-04T19:35:00
INFO:DUKASCRIPT:current timestamp :2023-09-05T17:15:00
INFO:DUKASCRIPT:current timestamp :2023-10-05T11:55:00
INFO:DUKASCRIPT:current timestamp :2023-11-06T07:00:00
INFO:DUKASCRIPT:current timestamp :2023-12-06T09:10:00
  XAUUSD 5m 2023: 70,638 bar
INFO:DUKASCRIPT:current timestamp :2024-01-31T21:25:00
INFO:DUKASCRIPT:current timestamp :2024-03-01T18:10:00
INFO:DUKASCRIPT:current timestamp :2024-04-03T11:15:00
INFO:DUKASCRIPT:current timestamp :2024-05-03T05:10:00
INFO:DUKASCRIPT:current timestamp :2024-06-04T01:40:00
INFO:DUKASCRIPT:current timestamp :2024-07-03T21:05:00
INFO:DUKASCRIPT:current timestamp :2024-08-02T17:30:00
INFO:DUKASCRIPT:current timestamp :2024-09-03T13:55:00
INFO:DUKASCRIPT:current timestamp :2024-10-03T07:50:00
INFO:DUKASCRIPT:current timestamp :2024-11-04T03:50:00
INFO:DUKASCRIPT:current timestamp :2024-12-04T02:40:00
  XAUUSD 5m 2024: 71,161 bar
INFO:DUKASCRIPT:current timestamp :2025-01-31T20:35:00
INFO:DUKASCRIPT:current timestamp :2025-03-04T17:05:00
INFO:DUKASCRIPT:current timestamp :2025-04-03T10:00:00
INFO:DUKASCRIPT:current timestamp :2025-05-06T04:20:00
INFO:DUKASCRIPT:current timestamp :2025-06-04T23:45:00
INFO:DUKASCRIPT:current timestamp :2025-07-07T01:10:00
INFO:DUKASCRIPT:current timestamp :2025-08-05T18:05:00
INFO:DUKASCRIPT:current timestamp :2025-09-04T14:40:00
INFO:DUKASCRIPT:current timestamp :2025-10-06T08:35:00
INFO:DUKASCRIPT:current timestamp :2025-11-05T03:30:00
INFO:DUKASCRIPT:current timestamp :2025-12-05T02:25:00
  XAUUSD 5m 2025: 70,907 bar
INFO:DUKASCRIPT:current timestamp :2026-02-02T20:35:00
INFO:DUKASCRIPT:current timestamp :2026-03-04T17:10:00
INFO:DUKASCRIPT:current timestamp :2026-04-06T10:15:00
INFO:DUKASCRIPT:current timestamp :2026-05-06T04:10:00
INFO:DUKASCRIPT:current timestamp :2026-06-04T23:35:00
INFO:DUKASCRIPT:current timestamp :2026-07-07T02:30:00
INFO:DUKASCRIPT:current timestamp :2026-08-05T19:25:00
